set ITEM := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;

param: valor peso	    := 
1 94 485
2 506 326
3 416 248
4 992 421
5 649 322
6 237 795
7 457 43
8 815 845
9 446 955
10 422 252
11 791 9
12 359 901
13 667 122
14 598 94
15 7 738
16 544 574
17 334 715
18 766 882
19 994 367
20 893 984
21 633 299
22 131 433
23 428 682
24 700 72
25 617 874
26 874 138
27 720 856
28 419 145
29 794 995
30 196 529
31 997 199
32 116 277
33 908 97
34 539 719
35 707 242
36 569 107
37 537 122
38 931 70
39 726 98
40 487 600
41 772 645
42 513 267
43 81 972
44 943 895
45 58 213
46 303 748
47 764 487
48 536 923
49 724 29
50 789 674
51 479 540
52 142 554
53 339 467
54 641 46
55 196 710
56 494 553
57 66 191
58 824 724
59 208 730
60 711 988
61 800 90
62 314 340
63 289 549
64 401 196
65 466 865
66 689 678
67 833 570
68 225 936
69 244 722
70 849 651
71 113 123
72 379 431
73 361 508
74 65 585
75 486 853
76 686 642
77 286 992
78 889 725
79 24 286
80 491 812
81 891 859
82 90 663
83 181 88
84 214 179
85 17 187
86 472 619
87 418 261
88 419 846
89 356 192
90 682 261
91 306 514
92 201 886
93 385 530
94 952 849
95 500 294
96 194 799
97 737 391
98 324 330
99 992 298
100 224 790
;
param capacidade	:= 995 ;
